well,point,transect,azimuth,start_m,end_m,distance
HVT,F,1,140,0,5.32,400
HVT,F,1,140,5.37,43.02,400
HVT,F,1,140,43.46,50,400
MVT,D,2,355,0,50,400
MVT,C,2,195,0,25.69,100
MVT,C,2,195,25.79,35.71,100
MVT,C,2,195,35.74,50,100
MVT,G,1,160,0,50,1600
MVT,F,1,155,0,12.28,400
MVT,F,1,155,12.61,50,400
MVT,E,2,206,0,50,400
MVT,B,2,250,0,50,100
HVT,B,1,149,0,1.55,100
HVT,B,1,149,1.89,6.98,100
HVT,B,1,149,7.12,50,100
HVT,D,2,230,0,2.95,400
HVT,D,2,230,3.06,9.91,400
HVT,D,2,230,10.09,50,400
MVT,I,1,46,0,40.13,1600
MVT,I,1,46,40.28,50,1600
HVT,C,2,214,0,25.32,100
HVT,C,2,214,25.6,50,100
HVT,A,1,89,0,18.67,100
HVT,A,1,89,18.71,50,100
MVT,A,2,340,0,50,100
HVT,I,1,140,0,23.17,1600
HVT,I,1,140,23.29,50,1600
MVT,H,2,348,0,50,1600
HVT,G,1,160,0,50,1600
HVT,E,1,17,0,33.85,400
HVT,E,1,17,33.98,50,400
HVT,H,2,348,0,50,1600
N13,B,1,1,0,50,100
N13,D,2,165,0,18.8,400
N13,D,2,165,19.06,24.78,400
N13,D,2,165,24.85,33.32,400
N13,D,2,165,33.45,39.63,400
N13,D,2,165,39.91,50,400
N6,D,1,84,0,14.46,400
N6,D,1,84,14.49,30.5,400
N6,D,1,84,30.54,39.07,400
N6,D,1,84,39.1,50,400
N6,H,2,291,0,21.19,1600
N6,H,2,291,21.24,50,1600
N6,E,1,111,0,8.69,400
N6,E,1,111,8.83,30.27,400
N6,E,1,111,30.37,40.35,400
N6,E,1,111,40.4,50,400
N6,G,1,84,0,7.61,1600
N6,G,1,84,7.74,8.09,1600
N6,G,1,84,8.18,18.96,1600
N6,G,1,84,19.01,29.01,1600
N6,G,1,84,29.08,30.51,1600
N6,G,1,84,30.56,30.84,1600
N6,G,1,84,30.88,31.21,1600
N6,G,1,84,31.47,35.61,1600
N6,G,1,84,34.68,42.01,1600
N6,G,1,84,42.1,43.4,1600
N6,G,1,84,43.49,44.56,1600
N6,G,1,84,44.65,50,1600
30,D,2,162,0,7.01,400
30,D,2,162,7.21,13.11,400
30,D,2,162,13.72,31.4,400
30,D,2,162,31.61,32.95,400
30,D,2,162,33.19,41.49,400
30,D,2,162,41.73,46.93,400
30,D,2,162,47.62,50,400
30,H,2,234,0,0.05,1600
30,H,2,234,0.13,8.66,1600
30,H,2,234,8.69,11.38,1600
30,H,2,234,11.6,12.15,1600
30,H,2,234,12.39,30.62,1600
30,H,2,234,30.69,42.75,1600
30,H,2,234,42.89,43.83,1600
30,H,2,234,43.87,50,1600
30,A,1,66,0,4.02,100
30,A,1,66,4.07,14.85,100
30,A,1,66,15.21,18.06,100
30,A,1,66,18.13,25.5,100
30,A,1,66,25.58,30.24,100
30,A,1,66,30.31,43.09,100
30,A,1,66,43.21,48.65,100
30,A,1,66,48.83,50,100
30,B,2,137,0,10.41,100
30,B,2,137,10.49,22.69,100
30,B,2,137,22.8,31.95,100
30,B,2,137,32.19,41.34,100
30,B,2,137,41.39,44.54,100
30,B,2,137,44.72,50,100
30,E,2,181,0,9.4,400
30,E,2,181,9.55,13.26,400
30,E,2,181,13.37,16.11,400
30,E,2,181,16.21,25.89,400
30,E,2,181,25.98,33.02,400
30,E,2,181,33.32,42.68,400
30,E,2,181,42.77,45.79,400
30,E,2,181,45.91,50,400
30,G,3,273,0,1.53,1600
30,G,3,273,1.72,4.27,1600
30,G,3,273,4.32,4.95,1600
30,G,3,273,5.09,16.87,1600
30,G,3,273,17.11,22.96,1600
30,G,3,273,23.19,25.57,1600
30,G,3,273,25.64,30.09,1600
30,G,3,273,30.16,35.85,1600
30,G,3,273,35.9,42.65,1600
30,G,3,273,42.91,45.29,1600
30,G,3,273,45.53,50,1600
30,F(X),1,6,0,9.75,400
30,F(X),1,6,9.93,17.39,400
30,F(X),1,6,17.49,25.61,400
30,F(X),1,6,25.68,43.06,400
30,F(X),1,6,43.51,50,400
30,F(X),3,246,0,6.62,400
30,F(X),3,246,6.66,12.08,400
30,F(X),3,246,12.32,12.6,400
30,F(X),3,246,12.79,23.6,400
30,F(X),3,246,24.1,29.42,400
30,F(X),3,246,29.79,40.95,400
30,F(X),3,246,41.35,42.13,400
30,F(X),3,246,42.4,43.8,400
30,F(X),3,246,43.94,50,400
N13,H(2),3,341,0,10.32,1600
N13,H(2),3,341,10.39,36.7,1600
N13,H(2),3,341,36.79,50,1600
N13,G,3,306,0,19.18,1600
N13,G,3,306,19.21,31.07,1600
N13,G,3,306,31.13,50,1600
N13,F,1,0,0,6.65,400
N13,F,1,0,6.74,11.26,400
N13,F,1,0,11.32,13.9,400
N13,F,1,0,14.34,26.71,400
N13,F,1,0,26.83,50,400
30,C(X),2,207,0,1.68,100
30,C(X),2,207,2.12,2.76,100
30,C(X),2,207,2.82,9.85,100
30,C(X),2,207,10.01,12.29,100
30,C(X),2,207,12.39,18.03,100
30,C(X),2,207,18.07,20.62,100
30,C(X),2,207,20.78,26.34,100
30,C(X),2,207,26.38,40.66,100
30,C(X),2,207,40.72,42.77,100
30,C(X),2,207,42.81,50,100
30,C(X),1,87,0,7.6,100
30,C(X),1,87,8.1,17.43,100
30,C(X),1,87,17.75,22.7,100
30,C(X),1,87,22.82,50,100
N13,E,1,23,0,1.38,400
N13,E,1,23,1.43,28.07,400
N13,E,1,23,28.11,37.04,400
N13,E,1,23,37.12,46.86,400
N13,E,1,23,46.91,50,400
N13,A,3,247,0,50,100
30,I(X),1,90,0,0.37,1600
30,I(X),1,90,0.53,17.82,1600
30,I(X),1,90,18.01,23.48,1600
30,I(X),1,90,23.6,29.7,1600
30,I(X),1,90,29.86,46.91,1600
30,I(X),1,90,47.02,50,1600
30,I(X),3,330,0,41.09,1600
30,I(X),3,330,41.17,47.22,1600
30,I(X),3,330,47.31,50,1600
N13,C,1,88,0,25.29,100
N13,C,1,88,25.41,50,100
N13,I,2,200,0,26.33,1600
N13,I,2,200,26.44,31.22,1600
N13,I,2,200,31.26,50,1600
N12,E,1,45,0,0.82,400
N12,E,1,45,0.85,2.06,400
N12,E,1,45,2.1,4.08,400
N12,E,1,45,4.12,25.2,400
N12,E,1,45,25.31,25.88,400
N12,E,1,45,25.98,27.11,400
N12,E,1,45,27.16,37,400
N12,E,1,45,37.07,50,400
N12,H,2,225,0,40.57,1600
N12,H,2,225,40.53,50,1600
N12,G,1,45,0,12.12,1600
N12,G,1,45,12.15,24.12,1600
N12,G,1,45,24.15,30.72,1600
N12,G,1,45,30.86,34.36,1600
N12,G,1,45,30.44,39.37,1600
N12,G,1,45,39.41,44.07,1600
N12,G,1,45,44.12,48.21,1600
N12,G,1,45,48.49,49.24,1600
N12,G,1,45,49.29,49.68,1600
N12,G,1,45,49.71,50,1600
13,H,2,205,0,12.3,1600
13,H,2,205,12.34,20.07,1600
13,H,2,205,20.25,35.64,1600
13,H,2,205,35.74,50,1600
13,F,1,18,0,4.15,400
13,F,1,18,4.19,7.19,400
13,F,1,18,7.24,8.1,400
13,F,1,18,8.18,8.6,400
