well,point,transect,azimuth,start_m,end_m,distance
2,C,2,210,0,9.3,100
2,C,2,210,9.38,21.33,100
2,C,2,210,22.11,25.19,100
2,C,2,210,26.02,28.29,100
2,C,2,210,31.38,31.97,100
2,C,2,210,32.28,43.72,100
2,C,2,210,44.51,44.83,100
2,C,2,210,45.39,50,100
2,E,3,257,0,0.84,400
2,E,3,257,1.11,5.46,400
2,E,3,257,5.52,14.28,400
2,E,3,257,14.54,17.02,400
2,E,3,257,17.53,19.8,400
2,E,3,257,20.11,24.38,400
2,E,3,257,24.67,26.53,400
2,E,3,257,26.77,27.4,400
2,E,3,257,27.74,29.6,400
2,E,3,257,30.18,30.55,400
2,E,3,257,31.33,34.06,400
2,E,3,257,34.56,39.75,400
2,E,3,257,39.87,50,400
2,D,1,222,0,7.8,400
2,D,1,222,9.98,13.46,400
2,D,1,222,13.67,19.18,400
2,D,1,222,19.47,21.89,400
2,D,1,222,24.71,25.22,400
2,D,1,222,25.78,29.24,400
2,D,1,222,31.87,36.63,400
2,D,1,222,37.39,39.48,400
2,D,1,222,40.09,42.5,400
2,D,1,222,42.93,43.34,400
2,D,1,222,43.56,44.06,400
2,D,1,222,44.61,46.18,400
2,D,1,222,46.23,50,400
2,F,2,116,0,3.5,400
2,F,2,116,3.7,5.22,400
2,F,2,116,5.34,15.85,400
2,F,2,116,16.1,18.19,400
2,F,2,116,18.54,24.89,400
2,F,2,116,25.12,27.14,400
2,F,2,116,29.55,31.89,400
2,F,2,116,33.29,40.16,400
2,F,2,116,40.51,41.27,400
2,F,2,116,44.79,47.95,400
2,F,2,116,48.16,49.61,400
2,G,1,73,0,3.56,1600
2,G,1,73,3.64,7.48,1600
2,G,1,73,7.52,8.64,1600
2,G,1,73,9.16,9.51,1600
2,G,1,73,9.77,11.87,1600
2,G,1,73,12.23,14.31,1600
2,G,1,73,15.12,15.78,1600
2,G,1,73,15.87,16.64,1600
2,G,1,73,16.82,17.69,1600
2,G,1,73,17.91,22.63,1600
2,G,1,73,22.78,25.99,1600
2,G,1,73,27.46,30.29,1600
2,G,1,73,30.82,36.4,1600
2,G,1,73,36.47,43.41,1600
2,G,1,73,43.53,46.74,1600
2,G,1,73,47.08,50,1600
2,H,3,279,0,0.71,1600
2,H,3,279,1.25,7.47,1600
2,H,3,279,8,8.24,1600
2,H,3,279,8.31,8.58,1600
2,H,3,279,8.67,27.3,1600
2,H,3,279,27.59,29.37,1600
2,H,3,279,29.56,35.33,1600
2,H,3,279,35.55,39.19,1600
2,H,3,279,39.83,45.89,1600
2,H,3,279,46.03,50,1600
2,I,3,320,0,9.75,1600
2,I,3,320,10.21,12.08,1600
2,I,3,320,12.18,15.5,1600
2,I,3,320,15.76,18.27,1600
2,I,3,320,18.42,21.25,1600
2,I,3,320,21.39,24.69,1600
2,I,3,320,24.88,25.37,1600
2,I,3,320,25.42,27.62,1600
2,I,3,320,27.92,31.85,1600
