well,point,transect,litter_cover,selected_plant_cover,invasive_plant_cover,canopy_cover,all_cover,distance
13,A,1,23,0,1,7,9,100
13,A,2,21,1,3,3,7,100
13,B,1,4,1,1,1,1,100
13,B,2,2,0,5,5,5,100
13,C,1,24,1,1,14,16,100
13,C,2,23,1,2,9,10,100
13,D,1,31,0,0,13,18,400
13,D,2,14,0,0,16,20,400
13,E,1,20,0,0,9,9,400
13,E,2,13,0,0,20,20,400
13,F,1,17,0,0,17,21,400
13,F,2,21,0,0,13,16,400
13,G,1,23,0,0,17,22,1600
13,G,2,24,0,0,19,21,1600
13,H,1,16,0,0,9,13,1600
13,H,2,18,0,0,12,17,1600
13,I,1,24,0,0,16,21,1600
13,I,2,26,0,0,14,19,1600
2,A,1,8,0,0,4,10,100
2,A,2,14,0,0,3,9,100
2,B,1,17,0,0,10,12,100
2,B,3,5,0,0,6,7,100
2,C,2,13,0,0,8,13,100
2,C,3,14,0,0,9,12,100
2,D,1,12,0,0,10,12,400
2,D,3,6,0,0,5,11,400
2,E,2,1,0,0,6,10,400
2,E,3,12,0,0,8,12,400
2,F,2,8,0,0,11,12,400
2,F,3,11,0,0,9,9,400
2,G,1,14,0,0,6,17,1600
2,G,3,11,0,0,8,8,1600
2,H,2,7,0,0,7,14,1600
2,H,3,9,0,0,3,9,1600
2,I,2,12,0,0,10,13,1600
2,I,3,11,0,0,8,17,1600
30,A,1,24,1,2,21,23,100
30,A,2,18,20,22,25,27,100
30,B,1,14,3,3,12,17,100
30,B,2,11,3,3,12,13,100
30,C(X),1,22,4,4,23,25,100
30,C(X),2,20,2,2,20,20,100
30,D,2,18,0,0,24,25,400
30,D,3,15,0,0,17,19,400
30,E,1,25,1,1,12,15,400
30,E,2,22,2,4,21,23,400
30,F(X),1,23,1,1,15,18,400
30,F(X),3,26,0,0,27,28,400
30,G,1,27,2,2,22,24,1600
30,G,3,32,2,2,23,23,1600
30,H,2,26,1,1,21,23,1600
30,H,3,20,0,0,18,23,1600
30,I(X),1,20,6,6,24,26,1600
30,I(X),3,25,2,2,19,20,1600
FT,A,1,15,1,1,10,20,100
FT,A,2,19,0,0,10,18,100
FT,B,1,25,0,0,18,28,100
FT,B,2,14,0,0,12,18,100
FT,C,1,21,0,0,17,23,100
FT,C,2,23,0,0,13,22,100
FT,D,1,35,0,0,17,25,400
FT,D,2,24,0,0,11,24,400
FT,E,1,6,0,0,10,26,400
FT,E,2,4,0,0,6,21,400
FT,F,1,13,0,0,14,22,400
FT,F,2,6,0,0,9,13,400
FT,G,1,25,0,0,20,31,1600
FT,G,2,15,0,0,13,23,1600
FT,H,1,13,0,0,7,25,1600
FT,H,2,9,0,0,11,24,1600
FT,I(X),1,12,0,0,10,11,1600
FT,I(X),2,25,0,0,13,18,1600
FT,J(X),1,17,0,0,7,12,1600
FT,J(X),2,17,0,0,11,15,1600
HVT,A,1,8,2,2,5,8,100
HVT,A,2,23,0,0,3,8,100
HVT,B,1,21,0,0,5,17,100
HVT,B,2,25,0,0,8,9,100
HVT,C,1,16,0,0,2,5,100
HVT,C,2,13,0,0,6,12,100
HVT,D,1,15,0,0,2,4,400
HVT,D,2,14,0,0,10,10,400
HVT,E,1,24,2,2,9,16,400
HVT,E,2,20,2,2,7,9,400
HVT,F,1,20,0,0,3,8,400
HVT,F,2,23,0,0,1,5,400
HVT,G,1,15,0,0,0,6,1600
HVT,G,2,16,0,0,2,8,1600
HVT,H,1,8,0,0,5,9,1600
HVT,H,2,5,0,0,2,5,1600
HVT,I,1,16,0,0,2,6,1600
HVT,I,2,16,0,0,2,4,1600
MVT,A,1,18,0,0,2,4,100
MVT,A,2,16,0,0,0,7,100
MVT,B,1,22,0,0,4,10,100
MVT,B,2,17,0,0,0,6,100
MVT,C,1,11,0,0,6,7,100
MVT,C,2,12,0,0,4,7,100
MVT,D,1,20,0,0,0,5,400
MVT,D,2,19,0,0,1,10,400
MVT,E,1,10,0,0,2,6,400
MVT,E,2,8,0,0,0,4,400
MVT,F,1,14,0,0,2,8,400
MVT,F,2,24,0,0,3,14,400
MVT,G,1,7,0,0,2,5,1600
MVT,G,2,5,0,0,0,4,1600
MVT,H,1,25,0,0,2,15,1600
MVT,H,2,21,0,0,1,14,1600
MVT,I,1,22,0,0,1,6,1600
MVT,I,2,14,0,0,0,1,1600
N12,A,1,29,0,1,11,22,100
N12,A,2,32,0,3,12,21,100
N12,B,1,19,0,2,14,25,100
N12,B,2,26,0,2,4,15,100
N12,C,1,16,0,0,3,10,100
N12,C,2,17,0,2,13,14,100
N12,D,1,12,0,0,18,21,400
N12,D,2,15,1,1,27,27,400
N12,E,1,29,2,2,15,22,400
N12,E,2,24,0,0,9,14,400
N12,F,1,28,0,0,17,22,400
N12,F,2,24,1,1,19,27,400
N12,G,1,11,0,6,6,15,1600
N12,G,2,9,0,5,7,16,1600
N12,H,1,7,0,2,2,16,1600
N12,H,2,3,0,1,5,10,1600
N12,I,1,19,0,0,18,18,1600
N12,I,2,12,1,1,10,10,1600
N13,A,2,16,2,4,15,25,100
N13,A,3,13,0,4,5,14,100
N13,B,1,29,1,3,4,12,100
N13,B,2,29,7,9,11,24,100
N13,C,1,10,1,7,15,26,100
N13,C,2,12,0,0,15,21,100
N13,D,2,24,3,3,14,19,400
N13,D,3,24,2,2,16,25,400
N13,E,1,31,3,3,22,28,400
N13,E,2,24,3,3,20,29,400
N13,F,1,31,2,2,14,20,400
N13,F,2,22,1,1,15,27,400
N13,G,2,16,0,5,6,22,1600
N13,G,3,17,0,7,8,26,1600
N13,H(2),1,6,0,0,1,23,1600
N13,H(2),3,9,0,0,2,31,1600
N13,I,2,17,3,3,10,12,1600
N13,I,3,25,5,5,17,23,1600
N5,A,1,15,0,2,14,15,100
N5,A,2,16,0,1,11,13,100
N5,B,2,2,0,0,8,9,100
N5,B,3,5,0,4,16,16,100
N5,C,2,14,4,5,10,13,100
N5,C,3,23,2,2,12,14,100
N5,D,1,12,2,7,13,14,400
N5,D,2,6,2,4,18,19,400
N5,E,1,15,2,3,19,21,400
N5,E,3,15,1,1,13,13,400
N5,F,2,14,0,0,13,13,400
N5,F,3,13,0,1,13,13,400
N5,G,1,25,1,1,15,16,1600
N5,G,3,10,0,0,8,10,1600
N5,H,1,18,1,3,15,16,1600
N5,H,3,20,1,5,21,23,1600
N5,I,1,11,7,8,14,14,1600
N5,I,3,16,5,6,18,19,1600
N6,A,1,1,0,4,5,6,100
N6,A,2,11,0,9,12,12,100
N6,B,1,28,1,4,23,25,100
N6,B,2,22,1,9,17,18,100
N6,C,1,23,0,3,15,19,100
N6,C,2,1,0,4,5,7,100
N6,D,1,14,0,0,22,23,400
N6,D,2,17,0,2,15,17,400
N6,E,1,6,0,0,11,11,400
N6,E,2,19,0,4,18,21,400
N6,F,1,27,2,2,17,24,400
N6,F,2,27,1,2,18,18,400
N6,G,1,20,0,0,21,23,1600
N6,G,2,25,0,0,19,21,1600
N6,H,1,10,0,0,19,21,1600
N6,H,2,5,0,0,22,22,1600
N6,I,1,8,1,1,18,19,1600
N6,I,2,6,0,0,19,20,1600
ST,A,1,32,0,0,23,28,100
ST,A,2,31,0,0,23,28,100
ST,B,1,38,0,2,9,14,100
ST,B,2,26,0,0,11,16,100
ST,C(X),1,23,0,0,18,20,100
ST,C(X),2,22,0,0,14,17,100
ST,D,1,27,0,0,10,17,400
ST,D,2,22,0,0,13,18,400
ST,E,1,9,0,0,21,25,400
ST,E,2,26,0,0,17,19,400
ST,F(X),1,25,0,0,17,20,400
ST,F(X),2,23,0,0,10,17,400
ST,G,1,21,0,0,8,20,1600
ST,G,2,28,0,0,7,19,1600
ST,H,1,18,0,0,20,24,1600
ST,H,2,17,0,0,16,22,1600
ST,I,1,33,0,0,18,26,1600
ST,I,2,33,0,0,21,29,1600
TT,A(X),2,24,0,0,12,18,100
TT,A(X),3,28,0,0,12,19,100
TT,B,1,31,0,0,15,19,100
TT,B,2,27,0,0,10,16,100
TT,C,2,21,0,0,6,21,100
TT,C,3,25,0,1,10,14,100
TT,D,2,24,0,0,19,26,400
TT,D,3,23,0,0,13,19,400
TT,E,1,35,0,0,20,28,400
TT,E,2,28,0,0,18,22,400
TT,F,1,27,0,0,14,20,400
TT,F,2,29,0,0,22,25,400
TT,F(X),1,29,1,1,13,25,400
TT,F(X),2,33,0,0,14,33,400
TT,G,2,35,0,0,22,23,1600
TT,G,3,20,0,0,12,14,1600
TT,H,1,22,0,0,14,17,1600
TT,H,2,24,0,0,8,12,1600
TT,I,1,18,0,0,17,29,1600
TT,I,3,13,0,0,15,28,1600
